Category,Lat,Long,Cases
Whooping Cough,15.7662,24.90422,58
Measles,-26.522503,31.465866,281
Measles,60.12816,18.6435,32
Measles,59.26869,18.01208,10
Measles,59.55415, 16.53413 ,1
Rubella,60.41385,15.0293,51
Other,60.12816,18.64350,2
Measles,46.818188,8.227512,515
Measles,46.991313,7.536765,58
Measles,46.561313,6.536765,22
Measles,35.82688,36.69572,7000
Measles,34.80207,38.99681,13
Polio,35.33333,40.15001,17
Polio,36.12634,39.78783,1
Other,33.48006,36.30098,6
Other,33.4645624,36.32000909999999,9
Other,33.4702172,36.29968380,90
Measles,23.69781,120.960515,12
Rubella,23.009781,120.960515,1
Measles,25.091075,121.559834,3
Measles,23.69781,120.96052,2
Measles,23.69781,120.96051,26
Measles,25.06894,121.59090,7
Rubella,24.70940,121.39585,6
Rubella,22.82030, 120.63973 ,1
Other,23.697810,120.960515,1
Polio,38.861034,71.276093,430
Measles,-6.36903,34.88882,70
Measles,-6.369028,33.5646,650
Measles,-7.85794,34.64539,1086
Measles,8.619543,0.824782,295
Measles,-21.13333,-175.20000,400
Measles,41.00527,28.97696,80
Measles,39.92077,32.85411,6983
Whooping Cough,52.13066,-3.78371,2466
Whooping Cough,54.80068,-2.0874,1080
Other,52.019029,-0.770427,3
Rubella,51.08952,-1.21684,14
Rubella,53.09402,-1.58203,65
Mumps,51.746774,-2.225786,10
Mumps,53.26928,-4.321285,23
Mumps,50.370381,-4.142653,46
Mumps,50.798914,-1.091163,66
Mumps,52.469978,-3.830377,26
Mumps,56.490671,-4.202646,9
Mumps,54.577232,-2.797483,12
Mumps,50.942297,-0.037438,112
Mumps,53.217882,-0.19997,43
Mumps,52.063422,-0.449777,61
Mumps,56.41041,-5.469723,119
Mumps,53.969009,-2.627691,47
Mumps,53.480713,-2.234377,35
Mumps,51.260145,0.55528,10
Mumps,51.500152,-0.126236,4
Mumps,55.86424,-4.25181,30
Mumps,54.23611,-4.54806,196
Mumps,51.75202,-1.25773,3
Mumps,51.75279,-1.25519,18
Mumps,52.62847,-1.12085,847
Mumps,52.62847,-2.26231,364
Measles,55.378051,-3.435973,1049
Measles,53.238342,-2.563342,22
Measles,52.267135,-1.467522,12
Measles,52.469978,-3.830377,207
Measles,55.208254,-2.078414,110
Measles,50.63185,-3.38242,33
Measles,51.652929,-0.199606,8
Measles,53.799639,-1.549122,15
Measles,51.260145,0.84428,19
Measles,50.63185,-3.38242,275
Measles,50.819522,-0.13642,4
Measles,50.798914,-1.091163,1
Measles,52.281943,-1.584471,3
Measles,53.238342,-2.999342,2
Measles,53.473517,-2.913271,2
Measles,52.119508,5.194365,275
Measles,52.405837,-1.512661,3
Measles,52.377566,-1.481544,9
Measles,56.490671,-4.202646,22
Measles,51.45451,-2.58791,3
Measles,52.94084,-4.17169,53
Measles,51.50813,-0.12801,36
Measles,51.25934,0.82672,21
Measles,53.41154,-2.99012,413
Measles,53.47216,-2.2534,98
Measles,53.5572,-2.40255,3
Measles,50.92062,0.28831,325
Measles,55.58333,-3.83333,9
Measles,54.61045,-2.80289,30
Measles,51.65849,-3.97441,1219
Measles,53.58444,-2.42862,31
Measles,53.96901,-2.62769,59
Measles,55.36409,-3.44842,2016
Measles,51.74677,-2.22579,62
Measles,54.68364,-1.82018,434
Measles,52.13066,-3.78371,1257
Measles,51.66517,-3.77165,36
Measles,54.5503,-1.21659,2
Measles,54.06276,-2.87189,75
Measles,51.74677,-2.22579,62
